Zip code,Type of Property,Price (€),Bedrooms,Living area (m²),Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Kitchen type scale,Building condition scale,Region
9031,1,453987,4.0,172.0,0,0.0,1.0,28.0,1.0,110.0,233.0,2.0,0,1.0,3.382284797718767,3.0
9031,1,455161,4.0,172.0,0,0.0,1.0,28.0,1.0,110.0,233.0,2.0,0,1.0,3.382284797718767,3.0
9031,1,381624,3.0,145.0,0,0.0,1.0,24.0,1.0,95.0,204.0,2.0,0,1.0,3.382284797718767,3.0
9031,1,391651,3.0,145.0,0,0.0,1.0,24.0,1.0,94.0,207.0,2.0,0,1.0,3.382284797718767,3.0
9031,1,416082,3.0,160.0,0,0.0,1.0,23.0,1.0,116.0,219.0,3.0,0,1.0,3.382284797718767,3.0
9890,1,698500,5.0,360.0,0,1.0,1.0,18.028500959166895,1.0,402.07499802011563,1488.0,4.0,1,1.0,3.382284797718767,3.0
9031,1,399786,3.0,149.0,0,0.0,1.0,26.0,1.0,106.0,222.0,2.0,0,0.9500049014802471,3.382284797718767,3.0
9031,1,389909,3.0,145.0,0,0.0,1.0,24.0,1.0,97.0,212.0,2.0,0,0.9500049014802471,3.382284797718767,3.0
4577,1,259000,4.0,200.0,0,0.0,1.0,30.0,1.0,70.0,250.0,4.0,0,1.0,3.0,1.0
9000,0,299000,2.0,90.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,0.9500049014802471,3.0,3.0
9041,1,499000,4.0,170.0,0,0.0,0.0,0.0,0.0,0.0,497.0,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
9402,0,235000,2.0,88.0,0,0.0,1.0,22.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,3.0
8520,0,165000,2.0,89.0,0,0.0,0.0,0.0,1.0,402.07499802011563,2757.377881205674,2.0,0,0.9500049014802471,3.382284797718767,3.0
8301,1,355000,3.0,138.0,0,0.0,0.0,0.0,0.0,0.0,133.0,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
8630,1,335000,4.0,163.0,0,0.0,0.0,0.0,1.0,35.0,633.0,3.0,0,1.0,3.0,3.0
8210,1,429000,3.0,120.0,0,0.0,0.0,0.0,1.0,402.07499802011563,1011.0,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
3150,1,435000,4.0,180.0,0,0.0,0.0,0.0,1.0,51.0,164.0,2.0,0,1.0,3.0,3.0
4500,0,199000,2.0,96.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,1.0
1640,0,200000,3.0,345.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,3.0,0,1.0,2.0,3.0
1340,0,240000,1.0,85.0,0,0.0,0.0,0.0,0.0,0.0,2757.377881205674,2.0,0,1.0,3.0,1.0
3212,1,349000,2.0,143.0,0,0.0,0.0,0.0,1.0,402.07499802011563,750.0,2.976151101053181,0,0.9500049014802471,3.382284797718767,3.0
